movie_title,United Kingdom,Spain,Italy,Germany,Denmark,Hungary,Finland,Netherlands,Iceland,Czech Republic,Switzerland,Slovakia,Ukraine,Portugal,Romania,Lithuania,Bulgaria,Latvia,Croatia,Austria,Poland,Serbia and Montenegro,Estonia,Slovenia,Sweden,Belgium,Norway,Greece,France,Other_European_Countries
Avengers: Age of Ultron,62.97,13.64,18.12,31.19,4.58,1.98,1.34,5.47,0.37,2.01,4.03,0.59,1.91,1.84,1.14,0.18,0.65,0.2,0.35,4.09,3.97,0.19,0.26,0.12,5.24,3.31,4.77,1.78,34.27,8.01
Ant-Man,25.19,4.15,5.29,5.92,0.92,,0.6,1.85,0.18,0.62,1.26,0.15,0.85,0.79,,0.06,0.19,0.06,0.16,0.79,1.3,0.07,0.11,0.04,2.14,1.24,1.36,0.36,13.56,2.77
Captain America: Civil War,53.78,11.35,12.96,21.77,3.08,,1.43,4.39,0.34,1.46,5.57,0.49,1.43,1.53,1.16,0.14,0.52,,,2.84,2.69,,,0.1,3.61,2.49,2.52,,23.22,11.04
Doctor Strange,28.55,6.98,8.19,17.4,2.29,1.21,1.29,3.61,0.29,1.3,2.38,0.39,2.43,0.95,1.5,0.18,0.54,,,2.15,2.46,,,0.09,3.14,1.89,1.54,1.18,15.69,4.39
Guardians of the Galaxy Vol. 2,53.06,10.31,7.9,30.17,3.29,1.71,1.53,4.46,0.47,1.79,3.15,0.6,0.01,1,1.15,0.18,0.39,,,3.45,3.25,,,0.12,4.5,2.55,2.47,0.63,24.81,3.27
Spider-Man: Homecoming,39.58,11.95,10.16,11.66,2.47,1.06,1.16,4.04,0.33,1.28,1.85,0.41,1.63,1.32,1.04,0.15,0.34,0.14,0.46,1.76,2.69,0.18,0.2,0.1,3.68,2.28,2.83,1.11,18.79,2.28
Thor: Ragnarok,40.96,10.62,9.87,19.04,2.92,2.2,1.46,4.59,0.48,3.04,2.23,0.85,2.42,1.34,2.11,0.22,0.73,,,2.75,4.05,,,0.19,4.54,2.57,2.75,1.3,21.26,4.73
Black Panther,70.75,9.72,8.95,23.39,4.8,1.57,2.2,9.98,0.5,2.1,3.84,0.69,2.2,2.1,1.93,0.23,0.64,,0.45,2.84,3.6,0.31,,0.21,7.44,3.85,4.25,1.24,33.11,7.34
Avengers: Infinity War,96.64,24.81,22.84,45.4,6.85,3.17,3.38,10.43,0.69,4.4,5.55,1.3,3.65,2.82,2.49,0.41,0.98,,0.77,5.69,7.37,0.28,,0.33,8.07,5.65,5.69,2.82,47.69,18.11
Ant-Man and the Wasp,22.94,6.87,5.82,9.42,1.07,0.99,0.77,2.66,0.23,1.17,1.26,0.35,1.37,0.9,0.72,0.09,0.23,,0.18,1.52,2.43,,,0.07,1.97,1.33,1.43,0.51,14.72,3.3
Captain Marvel,51.79,14.7,11.46,24.31,3.55,2.1,2.08,6.63,0.39,2.92,3.47,0.87,3.1,2,1.68,0.21,0.54,,0.46,3.55,4.51,0.29,,0.19,4.74,3.59,2.99,1.56,27.09,6.71
Avengers: Endgame,115,32.67,34.15,63.29,10.25,4.5,4.94,15.07,0.75,6.61,8.79,1.99,5.97,4.3,3.38,0.63,0.13,,1.14,8.38,10.56,0.8,,0.61,11.76,8.68,8.16,4.18,62.19,14.36
Spider-Man: Far From Home,49.57,15.12,13.5,19.42,3.88,1.72,1.9,7.42,0.36,2.63,2.89,0.9,2.54,2.08,1.32,0.35,0.46,0.28,0.75,2.9,4.49,0.32,0.4,0.24,4.46,3.51,3.65,1.68,26.19,5.75
Black Widow,25.78,7.33,5.78,8.47,0.18,1.38,1.09,4.55,0.24,1.8,1.66,0.5,1.58,0.89,0.68,0.1,0.03,,0.28,2,2.67,,,0.08,2.37,1.9,1.24,,15.13,2.71
Shang-Chi and the Legend of the Ten Rings,29.32,6.97,4.56,9.41,0.8,0.89,0.97,4.09,0.22,1.07,1.42,0.41,1.28,1.18,0.69,0.1,0.08,,0.24,1.49,2.04,0.14,,0.06,2.37,1.87,1.49,,12.97,2.85
Eternals,19.96,8.59,9.77,9.4,0.67,0.75,0.68,2.39,0.15,1.1,1.41,0.35,1.39,1.18,0.61,0.19,0.06,,0.22,1.2,2.16,0.18,,0.07,2.3,1.84,0.93,,16.24,2.28
Spider-Man: No Way Home,126.89,30.92,27.23,50.23,,3.14,,13,0.76,4.98,,1.12,8.44,4.11,3.02,0.87,1.12,,1.27,,,1.08,,0.59,,,2.6,,57.21,36.72
